emp_no,first_name,last_name,birth_date,from_date,to_date,title
284687,Oksana,Redmiles,1/15/65,6/22/85,1/1/99,Engineer
441197,Miquel,Legleitner,1/18/65,6/28/85,1/1/99,Staff
255466,Huan,Roccetti,1/18/65,7/3/85,1/1/99,Senior Engineer
295030,Fun,Keirsey,1/1/65,7/9/85,1/1/99,Senior Staff
475965,Rimon,Pietracaprina,1/2/65,7/10/85,1/1/99,Engineer
404462,Anestis,Setlzner,1/9/65,7/13/85,1/1/99,Engineer
224335,Perry,Chachaty,1/29/65,7/22/85,1/1/99,Engineer
295254,Xuejun,Pfau,1/15/65,7/24/85,1/1/99,Senior Staff
262210,Chinho,Bottner,1/22/65,7/29/85,1/1/99,Engineer
73233,Shigeo,Merey,1/15/65,7/30/85,1/1/99,Senior Engineer
80889,Shigeo,Linnainmaa,1/7/65,7/30/85,1/1/99,Senior Engineer
96767,Arumugam,Vecchio,1/7/65,8/14/85,1/1/99,Senior Engineer
47262,Gonzalo,Binkley,1/10/65,8/16/85,1/1/99,Engineer
266206,Zsolt,Anily,2/1/65,8/19/85,1/1/99,Staff
465409,Shahid,Varman,1/30/65,8/27/85,1/1/99,Senior Staff
241667,Atilio,Olivero,1/28/65,9/4/85,1/1/99,Engineer
247888,Abdelghani,Lagarias,1/15/65,9/6/85,1/1/99,Senior Engineer
429231,Kazuyasu,Schmiedel,1/9/65,9/7/85,1/1/99,Senior Staff
86422,Jaewon,Thummel,2/1/65,9/14/85,1/1/99,Senior Staff
90692,Rajmohan,DasSarma,1/3/65,9/14/85,1/1/99,Senior Staff
410028,Xiadong,McClurg,1/11/65,9/17/85,1/1/99,Staff
414662,Ipke,Schneeberger,1/21/65,9/20/85,1/1/99,Senior Engineer
445941,Masako,Dechter,1/11/65,9/25/85,1/1/99,Technique Leader
213384,Pranas,Narwekar,1/4/65,9/26/85,1/1/99,Senior Engineer
99654,Mahendra,Motley,1/30/65,9/28/85,1/1/99,Senior Staff
426958,Weijing,Viele,1/19/65,10/3/85,1/1/99,Senior Engineer
251166,Hinrich,Hooghiemstra,1/22/65,10/5/85,1/1/99,Staff
262439,Lorien,Lagarias,1/30/65,10/10/85,1/1/99,Staff
472790,Zhenbing,Ibel,1/23/65,10/29/85,1/1/99,Senior Engineer
289687,Fai,Maccarone,1/31/65,10/30/85,1/1/99,Senior Staff
444208,Irena,Cesareni,1/27/65,10/30/85,1/1/99,Senior Staff
220029,Demos,Asser,1/17/65,11/4/85,1/1/99,Senior Engineer
80067,Kazuhisa,Weiland,1/19/65,11/9/85,1/1/99,Senior Staff
233818,Kellie,Heydon,1/1/65,11/11/85,1/1/99,Engineer
108091,Hisao,Ghemri,1/9/65,11/14/85,1/1/99,Senior Staff
294461,Siddarth,Rosiles,1/14/65,11/18/85,1/1/99,Senior Engineer
449984,Hinrich,Perin,2/1/65,11/20/85,1/1/99,Engineer
38043,Michaela,Randi,1/5/65,11/23/85,1/1/99,Senior Engineer
446424,DAIDA,Nooteboom,1/16/65,11/24/85,1/1/99,Senior Engineer
281859,Masanao,Papastamatiou,1/17/65,11/25/85,1/1/99,Engineer
21843,Karsten,Azadmanesh,1/9/65,11/29/85,1/1/99,Senior Engineer
298577,Florina,Litecky,1/11/65,12/2/85,1/1/99,Senior Staff
470472,Zhiguo,Staudhammer,2/1/65,12/3/85,1/1/99,Engineer
30182,Leon,Potthoff,1/26/65,12/8/85,1/1/99,Engineer
453723,Arne,Kohling,1/15/65,12/13/85,1/1/99,Senior Engineer
288028,Kauko,Narwekar,1/22/65,12/16/85,1/1/99,Engineer
99373,Xiaobin,Christianini,1/13/65,12/25/85,1/1/99,Senior Staff
54198,Shaowen,Segond,1/1/65,1/6/86,1/1/99,Engineer
292828,Ziya,Tokunaga,1/10/65,1/8/86,1/1/99,Engineer
79895,Fei,Murtagh,1/30/65,1/19/86,1/1/99,Senior Staff
240236,TRUE,Tischendorf,1/24/65,1/19/86,1/1/99,Senior Engineer
272285,Gully,Mitchem,1/19/65,1/22/86,1/1/99,Staff
51142,Rosine,Lakshmanan,1/29/65,1/31/86,1/1/99,Engineer
53874,Bodo,Schade,1/23/65,2/14/86,1/1/99,Senior Staff
204471,Franziska,Maginnis,1/27/65,2/17/86,1/1/99,Senior Engineer
293752,Jungsoon,Bail,1/4/65,2/18/86,1/1/99,Senior Staff
290563,Shigehiro,Oxenboll,1/9/65,2/26/86,1/1/99,Senior Engineer
276027,Holgard,Stavenow,1/4/65,2/28/86,1/1/99,Staff
77030,Faiza,Garnham,1/2/65,3/2/86,1/1/99,Technique Leader
415563,Mrinalini,Bierbaum,1/21/65,3/12/86,1/1/99,Engineer
408019,Shridhar,Chleq,1/1/65,3/22/86,1/1/99,Assistant Engineer
472950,Weidon,Fordan,1/29/65,3/27/86,1/1/99,Senior Engineer
71243,Kinh,Buchter,1/10/65,3/29/86,1/1/99,Engineer
470456,Reuven,Oehlmann,1/13/65,3/29/86,1/1/99,Senior Staff
460920,Remzi,Mitzlaff,1/22/65,4/6/86,1/1/99,Senior Staff
40773,Shimshon,Aingworth,1/9/65,4/13/86,1/1/99,Staff
266862,Mart,Plumb,1/10/65,4/21/86,1/1/99,Senior Staff
52778,Alain,Penn,1/15/65,5/3/86,1/1/99,Technique Leader
36626,Fen,Genin,1/2/65,5/9/86,1/1/99,Senior Staff
432956,Qunsheng,Birrer,1/25/65,5/13/86,1/1/99,Senior Staff
244873,Arunachalam,Oppitz,1/4/65,5/20/86,1/1/99,Senior Staff
230689,Dietrich,Crabtree,1/14/65,5/24/86,1/1/99,Senior Staff
52386,Adas,Denti,1/28/65,5/30/86,1/1/99,Senior Staff
277829,Michaela,Fandrianto,1/22/65,6/2/86,1/1/99,Senior Engineer
38593,Huei,Orsini,1/14/65,6/4/86,1/1/99,Engineer
451275,Bedrich,Isard,1/25/65,6/7/86,1/1/99,Senior Staff
293329,Fumiya,Griswold,1/15/65,6/12/86,1/1/99,Senior Engineer
450255,Udo,Waymire,1/31/65,6/14/86,1/1/99,Technique Leader
20100,Utz,Heuter,1/18/65,6/15/86,1/1/99,Staff
75354,Shuky,Jakobus,1/11/65,6/16/86,1/1/99,Senior Engineer
85874,Pasqua,Taubman,1/30/65,6/23/86,1/1/99,Senior Staff
234739,Foong,Aamodt,1/31/65,6/28/86,1/1/99,Senior Engineer
275801,Ayakannu,Heinisuo,1/22/65,6/28/86,1/1/99,Senior Staff
229547,Moni,Schach,1/3/65,7/4/86,1/1/99,Senior Staff
30465,Randi,Avouris,1/28/65,7/16/86,1/1/99,Engineer
426795,Huican,Lunn,1/7/65,7/23/86,1/1/99,Staff
270084,Ulises,Frolund,1/11/65,7/26/86,1/1/99,Staff
294857,Caolyn,Ozeri,1/15/65,7/29/86,1/1/99,Senior Engineer
486958,Tonny,Kropf,1/6/65,7/30/86,1/1/99,Engineer
216054,Sahrah,Angiulli,1/24/65,7/31/86,1/1/99,Staff
217272,Yuchang,Eldridge,1/21/65,8/1/86,1/1/99,Senior Staff
464303,Abdelghani,Nyrup,1/22/65,8/2/86,1/1/99,Senior Staff
416420,Adamantios,Heemskerk,1/22/65,8/8/86,1/1/99,Senior Staff
445570,Van,Nations,1/25/65,8/11/86,1/1/99,Technique Leader
425535,Alagu,Vieri,1/18/65,8/23/86,1/1/99,Senior Staff
481764,Teiji,Marrakchi,1/27/65,8/26/86,1/1/99,Senior Engineer
28974,Chenxi,Sundgren,1/9/65,9/2/86,1/1/99,Senior Engineer
429703,Ung,Honglei,1/6/65,9/2/86,1/1/99,Staff
298339,King,Benzmuller,1/11/65,9/4/86,1/1/99,Senior Engineer
92846,Anyuan,Kropatsch,1/11/65,9/5/86,1/1/99,Senior Staff
16461,Remmert,Schahn,1/14/65,9/6/86,1/1/99,Senior Staff
226227,Herbert,Erva,1/7/65,9/6/86,1/1/99,Engineer
274271,Prodip,Ritcey,1/10/65,9/10/86,1/1/99,Staff
64487,Tsutomu,Rebaine,1/27/65,9/17/86,1/1/99,Senior Engineer
280420,Jahangir,Hofting,1/31/65,9/28/86,1/1/99,Staff
285396,Lena,Kohling,1/27/65,10/4/86,1/1/99,Engineer
29679,Kolar,Steenbeek,1/17/65,10/18/86,1/1/99,Senior Engineer
76189,Kolar,Hinsberger,1/2/65,10/20/86,1/1/99,Engineer
491632,Gadiel,Perly,1/1/65,10/20/86,1/1/99,Staff
408654,Yongqiao,Cochrane,1/9/65,10/27/86,1/1/99,Staff
401333,Martins,Shokrollahi,1/30/65,11/4/86,1/1/99,Engineer
420694,Frazer,Barbanera,1/19/65,11/4/86,1/1/99,Senior Staff
56428,Olivera,Hanabata,1/27/65,11/10/86,1/1/99,Staff
227354,Gio,Murtha,1/12/65,11/11/86,1/1/99,Engineer
401278,Oguz,Schurmann,1/16/65,11/11/86,1/1/99,Assistant Engineer
202826,Kerhong,Matzke,1/19/65,11/14/86,1/1/99,Engineer
431657,Visit,Thiran,1/31/65,11/14/86,1/1/99,Engineer
432121,Alair,Straney,1/6/65,11/15/86,1/1/99,Senior Staff
406714,Malu,Ossenbruggen,2/1/65,11/21/86,1/1/99,Senior Staff
447613,Paris,Restivo,1/15/65,11/21/86,1/1/99,Engineer
106710,Babette,Anandan,1/31/65,11/22/86,1/1/99,Senior Staff
479407,Randi,Tomescu,1/18/65,11/25/86,1/1/99,Assistant Engineer
429381,Limsoon,Roohalamini,1/6/65,11/26/86,1/1/99,Staff
40983,Marla,Cherinka,1/17/65,12/1/86,1/1/99,Technique Leader
427313,Utpal,Kemmerer,1/31/65,12/4/86,1/1/99,Senior Staff
257484,Shaowei,Nicolson,1/1/65,12/7/86,1/1/99,Senior Staff
87729,Yongmin,Roccetti,1/24/65,12/10/86,1/1/99,Senior Staff
210752,Saniya,Stenning,1/25/65,12/10/86,1/1/99,Senior Staff
79606,Arnd,Peir,1/3/65,12/11/86,1/1/99,Senior Engineer
71188,Pranjal,Schapiro,1/2/65,12/14/86,1/1/99,Staff
485489,Keiichiro,Armand,1/1/65,12/14/86,1/1/99,Engineer
23396,Hilari,Fairtlough,1/2/65,12/15/86,1/1/99,Technique Leader
263439,Atreye,Kabayashi,1/9/65,12/15/86,1/1/99,Senior Engineer
485579,Munehiro,Iwayama,1/18/65,12/16/86,1/1/99,Senior Engineer
14907,Nakhoon,Luga,1/14/65,12/18/86,1/1/99,Senior Staff
34446,Chinhyun,Bauknecht,1/31/65,12/19/86,1/1/99,Senior Engineer
279791,Chiranjit,Lyonns,1/10/65,12/24/86,1/1/99,Assistant Engineer
450309,Gill,Orlowska,1/8/65,12/25/86,1/1/99,Technique Leader
458726,Shahaf,Kitai,1/13/65,12/26/86,1/1/99,Senior Staff
280648,Heeju,Lorys,1/4/65,12/27/86,1/1/99,Senior Engineer
62033,Heeju,Cappelli,1/24/65,1/15/87,1/1/99,Engineer
91415,Jamaludin,Nilsson,1/4/65,1/15/87,1/1/99,Staff
47515,Naraig,Jenevein,1/26/65,1/18/87,1/1/99,Senior Engineer
293280,Moti,Steenbeek,1/24/65,1/22/87,1/1/99,Engineer
445226,Oscar,Baumann,1/1/65,1/22/87,1/1/99,Engineer
402664,Subhada,Janetzko,1/4/65,1/25/87,1/1/99,Senior Engineer
105520,Haldun,Lienhardt,1/1/65,1/29/87,1/1/99,Senior Staff
24553,Anwar,Passafiume,1/12/65,1/30/87,1/1/99,Staff
401420,Florian,Uhrig,1/6/65,1/31/87,1/1/99,Senior Staff
229220,Fabrizio,Lichtman,1/21/65,2/9/87,1/1/99,Senior Engineer
250748,Kish,Turnbull,1/27/65,2/10/87,1/1/99,Senior Engineer
107486,Siamak,Luiz,1/23/65,2/11/87,1/1/99,Senior Engineer
435289,Feixiong,Schurmann,1/4/65,2/15/87,1/1/99,Senior Staff
38550,JoAnne,Baez,1/14/65,2/16/87,1/1/99,Senior Engineer
239244,Abdulla,Kitai,1/13/65,2/20/87,1/1/99,Senior Staff
432031,Adamantios,Matzat,1/11/65,3/1/87,1/1/99,Senior Staff
36521,Serif,Gladwell,1/21/65,3/6/87,1/1/99,Senior Staff
83805,Manohar,Harllee,1/23/65,3/11/87,1/1/99,Senior Engineer
202950,Giordano,Pietrzykowski,1/17/65,3/26/87,1/1/99,Senior Staff
244624,Boaz,Seuren,1/31/65,3/27/87,1/1/99,Senior Staff
10291,Dipayan,Seghrouchni,1/23/65,3/30/87,1/1/99,Senior Staff
215843,Pramod,Loncour,1/30/65,3/31/87,1/1/99,Senior Staff
74668,Masako,Bonifati,1/1/65,4/9/87,1/1/99,Senior Staff
235368,Anneli,Joslin,1/9/65,4/12/87,1/1/99,Senior Engineer
244820,Shigenori,Hertweck,1/15/65,4/13/87,1/1/99,Senior Engineer
290467,Shaowen,Poulakidas,1/29/65,4/15/87,1/1/99,Staff
484142,Perry,Cooman,1/5/65,4/23/87,1/1/99,Staff
18021,Adil,Matzke,1/7/65,5/8/87,1/1/99,Engineer
67320,Sadok,Lorys,1/18/65,5/10/87,1/1/99,Senior Staff
416074,Alain,Lieberherr,1/8/65,5/11/87,1/1/99,Senior Engineer
269728,Naftali,Kragelund,1/12/65,5/16/87,1/1/99,Senior Staff
215629,Munehiro,Manders,1/15/65,5/18/87,1/1/99,Senior Staff
401154,Danae,Kragelund,1/27/65,5/20/87,1/1/99,Staff
262208,Mrinalini,Holburn,1/16/65,5/23/87,1/1/99,Senior Staff
219047,Aemilian,Kusalik,1/30/65,5/27/87,1/1/99,Engineer
411070,Otmar,Brandsma,1/29/65,5/28/87,1/1/99,Engineer
293080,Hideyuki,Slaats,1/12/65,5/30/87,1/1/99,Senior Staff
421384,Renny,Bednarek,1/2/65,6/1/87,1/1/99,Senior Staff
84236,Eberhardt,Barriga,1/18/65,6/4/87,1/1/99,Staff
498456,Geraldo,Gerteisen,1/17/65,6/5/87,1/1/99,Senior Staff
19803,Ziva,Kowalchuk,1/30/65,6/13/87,1/1/99,Senior Engineer
55799,Jianwen,Litzler,1/23/65,6/17/87,1/1/99,Senior Engineer
256856,Hongzue,Barbanera,1/3/65,6/17/87,1/1/99,Senior Staff
266310,Zvonko,Serdy,1/23/65,6/24/87,1/1/99,Senior Staff
200363,Kirk,Quaggetto,1/10/65,6/30/87,1/1/99,Senior Engineer
91172,Kazuhisa,Melter,1/19/65,7/16/87,1/1/99,Staff
450817,DAIDA,Frolund,1/10/65,7/17/87,1/1/99,Engineer
456767,Tetsurou,Schreiter,1/24/65,7/17/87,1/1/99,Senior Staff
233785,Baziley,Ballarin,1/30/65,7/28/87,1/1/99,Senior Staff
432261,Arve,Bergere,1/30/65,7/28/87,1/1/99,Engineer
265558,Susuma,Kleiser,1/31/65,8/2/87,1/1/99,Senior Staff
457070,Gay,Plavsic,1/25/65,8/6/87,1/1/99,Staff
207401,Shuji,Barbanera,1/4/65,8/10/87,1/1/99,Senior Staff
38168,Fumiko,Deverell,1/14/65,8/15/87,1/1/99,Staff
474796,Zongyan,Shackel,1/10/65,8/17/87,1/1/99,Technique Leader
261184,Masako,Kornatzky,1/30/65,8/29/87,1/1/99,Senior Engineer
278452,Sudhanshu,Toyoshima,1/7/65,8/29/87,1/1/99,Staff
246146,Zhongwei,Melski,1/30/65,9/4/87,1/1/99,Senior Engineer
267667,Irena,Kaiserswerth,1/5/65,9/5/87,1/1/99,Senior Staff
290441,Gregory,Collavizza,1/25/65,9/9/87,1/1/99,Senior Staff
295236,Kauko,Fujisawa,1/24/65,9/13/87,1/1/99,Engineer
55857,Adin,Scallan,1/18/65,9/15/87,1/1/99,Staff
416660,Nathalie,Luke,1/28/65,9/16/87,1/1/99,Engineer
296664,Dipayan,Geffroy,1/31/65,9/17/87,1/1/99,Senior Engineer
10476,Kokou,Iisaka,1/1/65,9/20/87,1/1/99,Staff
402025,Shigehito,Duclos,1/20/65,9/20/87,1/1/99,Engineer
423214,Tsutomu,Tetzlaff,1/31/65,9/24/87,1/1/99,Senior Staff
59869,Zsolt,Riefers,2/1/65,9/25/87,1/1/99,Senior Staff
406125,Georgi,Portugali,1/25/65,9/27/87,1/1/99,Technique Leader
238949,Minghong,Cronin,1/9/65,10/4/87,1/1/99,Senior Staff
41609,Yucai,Simmen,1/4/65,10/13/87,1/1/99,Senior Staff
63631,Falguni,Cherinka,1/22/65,10/15/87,1/1/99,Senior Engineer
45162,Dulce,Speel,1/11/65,10/19/87,1/1/99,Engineer
92454,Visit,McFarlan,1/24/65,10/22/87,1/1/99,Senior Engineer
217387,Jianhao,Molenaar,1/21/65,10/22/87,1/1/99,Senior Engineer
259237,Palash,Gammage,1/27/65,10/23/87,1/1/99,Staff
209712,Nimmagadda,Baak,1/17/65,10/30/87,1/1/99,Assistant Engineer
487505,Uno,Jayawardene,1/20/65,11/2/87,1/1/99,Staff
206966,Tzu,Sichman,1/21/65,11/17/87,1/1/99,Senior Engineer
426168,Kaijung,Mateescu,1/10/65,11/18/87,1/1/99,Senior Staff
48275,Sariel,Massonet,1/29/65,11/20/87,1/1/99,Senior Staff
58819,Gennady,Liesche,1/4/65,12/2/87,1/1/99,Senior Staff
80731,Shaowen,Eldridge,1/25/65,12/5/87,1/1/99,Senior Staff
437276,Dines,DeMori,1/17/65,12/7/87,1/1/99,Senior Staff
455726,Qiwen,Kriebel,1/8/65,12/13/87,1/1/99,Staff
424805,Jacqueline,Zallocco,1/24/65,12/17/87,1/1/99,Senior Staff
42778,Shuji,Remmers,1/19/65,12/18/87,1/1/99,Senior Staff
457776,Florian,Siepmann,1/15/65,12/21/87,1/1/99,Engineer
296718,Kamakshi,Bahl,1/30/65,12/22/87,1/1/99,Senior Engineer
418717,Arunachalam,Magliocco,1/20/65,12/23/87,1/1/99,Staff
233114,Alselm,Gargeya,1/20/65,12/25/87,1/1/99,Senior Engineer
428219,Ghassan,Androutsos,1/21/65,12/26/87,1/1/99,Senior Staff
224934,George,Miake,1/5/65,1/2/88,1/1/99,Staff
257469,Anyuan,Hanratty,1/22/65,1/6/88,1/1/99,Staff
440642,Snehasis,Kalsbeek,1/14/65,1/6/88,1/1/99,Senior Staff
22926,Manibrata,Genther,1/1/65,1/15/88,1/1/99,Engineer
401574,Yannik,Falco,1/13/65,1/15/88,1/1/99,Technique Leader
44959,Volkmar,Uhrik,1/21/65,1/16/88,1/1/99,Senior Engineer
72918,Takahira,Szilard,1/22/65,1/16/88,1/1/99,Senior Staff
287609,Sailaja,Negoita,1/6/65,1/20/88,1/1/99,Assistant Engineer
90518,Fumiko,Chepyzhov,1/24/65,1/28/88,1/1/99,Senior Staff
222206,Stein,Uludag,1/21/65,1/30/88,1/1/99,Senior Staff
492677,Goetz,McAffer,1/26/65,2/5/88,1/1/99,Engineer
284711,Martijn,Azevdeo,1/21/65,2/10/88,1/1/99,Senior Engineer
284561,Duri,Beznosov,1/3/65,2/15/88,1/1/99,Senior Engineer
483675,Hausi,Kamber,1/22/65,2/16/88,1/1/99,Senior Engineer
84942,Shin,Fujisaki,1/15/65,2/23/88,1/1/99,Technique Leader
58147,Shigenori,Sullins,1/9/65,2/24/88,1/1/99,Senior Staff
87783,Conor,Thorensen,1/26/65,2/24/88,1/1/99,Senior Engineer
201709,Fan,Kakkad,1/1/65,2/25/88,1/1/99,Senior Staff
64209,Golgen,Schoegge,1/24/65,2/26/88,1/1/99,Senior Staff
40536,Harngdar,Bernardinello,1/20/65,2/29/88,1/1/99,Engineer
430558,Xiong,Roisin,1/7/65,3/1/88,1/1/99,Engineer
238422,Vishv,Angelov,1/10/65,3/8/88,1/1/99,Senior Staff
436827,Wojceich,Limongiello,1/30/65,3/10/88,1/1/99,Senior Staff
295255,Jacopo,Bellone,1/4/65,3/13/88,1/1/99,Technique Leader
52970,Lobel,Werthner,1/22/65,3/17/88,1/1/99,Senior Engineer
29265,Gilbert,Calkin,1/14/65,3/21/88,1/1/99,Senior Staff
41520,Xiong,Uhrik,1/20/65,3/21/88,1/1/99,Senior Engineer
109278,Bangqing,Schach,1/21/65,3/22/88,1/1/99,Staff
444099,Kousuke,Worfolk,1/28/65,3/22/88,1/1/99,Staff
466509,Bezalel,Verhoeff,1/26/65,3/22/88,1/1/99,Senior Engineer
106242,Nevio,Thisen,2/1/65,3/25/88,1/1/99,Staff
280070,Niteen,Ebeling,1/24/65,3/29/88,1/1/99,Senior Staff
38103,Masasuke,Babu,1/12/65,3/31/88,1/1/99,Engineer
407837,Fei,Erez,2/1/65,4/2/88,1/1/99,Engineer
79763,Sanjoy,Barreiro,1/20/65,4/9/88,1/1/99,Senior Staff
109953,Godehard,Chorvat,1/26/65,4/10/88,1/1/99,Staff
423350,Heping,Monarch,1/4/65,4/15/88,1/1/99,Senior Staff
93600,Kristina,Neimat,1/13/65,4/18/88,1/1/99,Technique Leader
413666,Remco,Duclos,1/5/65,4/18/88,1/1/99,Senior Staff
457411,Xudong,Peck,1/13/65,4/18/88,1/1/99,Senior Engineer
449815,Fumitaka,Quittner,1/27/65,4/20/88,1/1/99,Senior Staff
26788,Zongyan,Dalphin,1/25/65,4/23/88,1/1/99,Engineer
89922,Alexius,Ibel,1/26/65,4/24/88,1/1/99,Engineer
46811,Junsik,Berendt,1/10/65,4/27/88,1/1/99,Senior Engineer
89680,Aiman,Mawatari,1/27/65,5/1/88,1/1/99,Senior Engineer
463495,Alenka,Barriga,1/28/65,5/6/88,1/1/99,Senior Staff
465062,Stafford,Gist,1/29/65,5/7/88,1/1/99,Engineer
227476,Macha,Schnabel,1/11/65,5/11/88,1/1/99,Senior Engineer
219035,Kristine,Bierman,1/18/65,5/13/88,1/1/99,Technique Leader
275881,Jiann,Munro,1/8/65,5/18/88,1/1/99,Senior Engineer
249433,Ayonca,Matzov,1/16/65,6/3/88,1/1/99,Engineer
239748,Bilhanan,Dusink,1/23/65,6/4/88,1/1/99,Senior Staff
403621,Deborah,Kaminger,1/7/65,6/4/88,1/1/99,Senior Staff
32649,Ingmar,Nannarelli,1/12/65,6/10/88,1/1/99,Senior Staff
413205,Mototsugu,Prampolini,1/9/65,6/12/88,1/1/99,Senior Staff
491478,Gill,Varman,1/16/65,6/18/88,1/1/99,Senior Staff
94944,Heping,Matheson,1/13/65,6/24/88,1/1/99,Engineer
405015,Morris,Fargier,1/2/65,6/29/88,1/1/99,Senior Staff
230126,Bezalel,Radivojevic,1/31/65,7/2/88,1/1/99,Staff
276445,Atilio,Randi,1/27/65,7/2/88,1/1/99,Engineer
447877,Make,Heuser,1/13/65,7/2/88,1/1/99,Senior Engineer
109598,Stamatina,Auyong,2/1/65,7/5/88,1/1/99,Senior Staff
19236,Elzbieta,Morris,1/24/65,7/12/88,1/1/99,Senior Engineer
103196,Djenana,Albarhamtoshy,1/16/65,7/16/88,1/1/99,Senior Staff
282343,Xinglin,Haldar,1/13/65,7/20/88,1/1/99,Senior Staff
404236,Zengping,Kakkar,1/12/65,7/22/88,1/1/99,Engineer
498635,Florian,Pezzoli,1/9/65,7/22/88,1/1/99,Senior Staff
462493,Paloma,Gerlach,1/12/65,7/26/88,1/1/99,Engineer
232209,Nitsan,Rouquie,1/11/65,8/1/88,1/1/99,Engineer
284691,Theron,Ressouche,1/4/65,8/17/88,1/1/99,Senior Engineer
91182,Lucien,Schwartzburd,1/4/65,8/25/88,1/1/99,Engineer
60559,Jeanna,Stemann,1/19/65,8/29/88,1/1/99,Engineer
441965,Claudi,Heijenga,1/12/65,8/30/88,1/1/99,Senior Staff
482885,Shaunak,Brizzi,1/29/65,9/2/88,1/1/99,Senior Engineer
257378,Pascal,Bernatsky,1/6/65,9/3/88,1/1/99,Senior Staff
228248,Yuriy,Plump,1/9/65,9/8/88,1/1/99,Senior Staff
90614,Yonghoan,Trogemann,1/29/65,9/23/88,1/1/99,Assistant Engineer
423038,Takushi,Strehl,1/20/65,10/4/88,1/1/99,Senior Staff
469529,Neven,Rikino,1/7/65,10/21/88,1/1/99,Engineer
475087,Genevieve,Snedden,1/31/65,10/21/88,1/1/99,Senior Engineer
91648,Dmitry,Msuda,1/29/65,10/22/88,1/1/99,Senior Staff
106695,Lijie,Garrabrants,1/31/65,10/26/88,1/1/99,Staff
201801,Waiman,Genin,1/12/65,10/30/88,1/1/99,Senior Engineer
467441,Margareta,Bondorf,1/13/65,11/7/88,1/1/99,Senior Engineer
276472,Hideyuki,Flanders,1/27/65,11/10/88,1/1/99,Engineer
452365,Fei,Gadepally,1/5/65,11/13/88,1/1/99,Assistant Engineer
34077,Angel,Sichman,1/8/65,11/16/88,1/1/99,Senior Staff
424930,Xuejun,Reeker,1/19/65,11/18/88,1/1/99,Staff
414543,Bernd,Anick,1/3/65,11/19/88,1/1/99,Senior Engineer
458790,Ramya,Azadmanesh,1/17/65,11/19/88,1/1/99,Engineer
94761,Hitofumi,Zaccaria,1/27/65,11/22/88,1/1/99,Engineer
221126,Tesuya,dAstous,1/23/65,11/29/88,1/1/99,Engineer
208147,Manu,Rothenberg,1/9/65,12/6/88,1/1/99,Senior Engineer
416877,Gio,Orsini,1/2/65,12/7/88,1/1/99,Staff
423993,Seshu,Kolvik,1/1/65,12/9/88,1/1/99,Technique Leader
